Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-11-11,A,137.07000732421875,137.4600067138672,133.1999969482422,133.86000061035156,133.86000061035156,5405500.0
2024-11-11,AAL,13.949999809265137,14.15999984741211,13.890000343322754,14.15999984741211,14.15999984741211,22833300.0
2024-11-11,AAPL,225.0,225.6999969482422,221.5,224.22999572753906,224.22999572753906,42005600.0
2024-11-11,ABBV,178.57000732421875,178.57000732421875,172.6999969482422,174.42999267578125,174.42999267578125,20760300.0
2024-11-11,ABNB,136.0,139.16000366210938,135.1199951171875,137.39999389648438,137.39999389648438,6535100.0
2024-11-11,ABT,116.94000244140625,117.83999633789062,116.33000183105469,116.80000305175781,116.80000305175781,5301100.0
2024-11-11,ACGL,102.2699966430664,102.51000213623047,100.06999969482422,100.5,95.56529998779297,2131700.0
2024-11-11,ACN,355.0,360.6400146484375,354.1000061035156,357.29998779296875,357.29998779296875,2985200.0
2024-11-11,ADBE,493.6000061035156,507.7200012207031,493.6000061035156,504.4800109863281,504.4800109863281,3536600.0
2024-11-11,ADI,223.85000610351562,225.00999450683594,218.4199981689453,220.47000122070312,219.54043579101562,3271700.0
2024-11-11,ADM,52.380001068115234,52.939998626708984,52.09000015258789,52.36000061035156,51.8708381652832,2480300.0
2024-11-11,ADP,305.7799987792969,308.5400085449219,305.1300048828125,306.7799987792969,305.1986083984375,1340200.0
2024-11-11,ADSK,305.4599914550781,314.70001220703125,304.6400146484375,313.8900146484375,313.8900146484375,1556800.0
2024-11-11,AEE,90.19999694824219,92.69000244140625,89.77999877929688,92.30000305175781,91.6222152709961,2202700.0
2024-11-11,AEP,96.0,96.37000274658203,94.25,94.51000213623047,94.51000213623047,3411600.0
2024-11-11,AES,13.859999656677246,13.9399995803833,13.329999923706055,13.890000343322754,13.890000343322754,21883800.0
2024-11-11,AFL,108.86000061035156,110.9000015258789,108.22000122070312,110.43000030517578,109.93314361572266,1687800.0
2024-11-11,AIG,76.22000122070312,77.30999755859375,75.31999969482422,75.37999725341797,75.37999725341797,4795400.0
2024-11-11,AIZ,212.25999450683594,214.82000732421875,210.27999877929688,210.72999572753906,209.97811889648438,339100.0
2024-11-11,AJG,295.3500061035156,297.010009765625,292.1400146484375,292.7200012207031,292.1414489746094,731000.0
2024-11-11,AKAM,91.6500015258789,92.18000030517578,89.7699966430664,91.06999969482422,91.06999969482422,3312500.0
2024-11-11,ALB,104.68000030517578,111.58999633789062,103.91000366210938,110.48999786376953,110.05680847167969,4581900.0
2024-11-11,ALGN,223.9600067138672,229.0,223.27000427246094,225.24000549316406,225.24000549316406,666100.0
2024-11-11,ALL,197.99000549316406,201.0,197.1699981689453,197.52000427246094,196.64718627929688,1339700.0
2024-11-11,ALLE,145.2100067138672,145.94000244140625,143.10000610351562,143.42999267578125,143.42999267578125,574900.0
2024-11-11,AMAT,192.30999755859375,193.1999969482422,186.4600067138672,188.55999755859375,188.1175994873047,5475200.0
2024-11-11,AMCR,10.3100004196167,10.390000343322754,10.270000457763672,10.3100004196167,10.182372093200684,6284800.0
2024-11-11,AMD,147.3800048828125,148.57000732421875,144.91000366210938,147.35000610351562,147.35000610351562,29868100.0
2024-11-11,AME,192.00999450683594,193.0399932861328,190.36000061035156,191.57000732421875,191.29345703125,1228500.0
2024-11-11,AMGN,325.9100036621094,327.5799865722656,321.6099853515625,321.80999755859375,319.2569274902344,2457000.0
2024-11-11,AMP,560.969970703125,566.719970703125,558.2999877929688,564.0,564.0,332600.0
2024-11-11,AMT,199.7100067138672,202.16000366210938,195.85000610351562,196.0800018310547,196.0800018310547,2699000.0
2024-11-11,AMZN,208.5,209.64999389648438,205.58999633789062,206.83999633789062,206.83999633789062,35456000.0
2024-11-11,ANET,101.33000183105469,102.06999969482422,97.55500030517578,99.32749938964844,99.32749938964844,11624800.0
2024-11-11,ANSS,342.0199890136719,347.9700012207031,341.45001220703125,346.3299865722656,346.3299865722656,321100.0
2024-11-11,AON,384.1400146484375,388.4700012207031,382.760009765625,383.3800048828125,383.3800048828125,1055500.0
2024-11-11,AOS,75.08000183105469,75.70999908447266,74.69000244140625,75.0999984741211,75.0999984741211,1215100.0
2024-11-11,APA,21.670000076293945,22.299999237060547,21.3799991607666,22.170000076293945,22.170000076293945,8421400.0
2024-11-11,APD,312.7799987792969,315.0400085449219,310.1400146484375,313.9100036621094,313.9100036621094,1940800.0
2024-11-11,APH,74.19000244140625,74.69999694824219,72.94000244140625,73.41000366210938,73.41000366210938,4420700.0
2024-11-11,APTV,57.09000015258789,57.11000061035156,55.560001373291016,55.93000030517578,55.93000030517578,3265300.0
2024-11-11,ARE,114.0,114.69000244140625,110.94000244140625,111.36000061035156,111.36000061035156,1770100.0
2024-11-11,ATO,144.88999938964844,146.9199981689453,144.47999572753906,146.11000061035156,145.26284790039062,1080200.0
2024-11-11,AVB,233.75,235.0800018310547,232.0500030517578,232.2100067138672,232.2100067138672,586500.0
2024-11-11,AVGO,183.39999389648438,183.6300048828125,176.82000732421875,178.91000366210938,178.91000366210938,17036700.0
2024-11-11,AVY,205.64999389648438,206.25999450683594,203.72000122070312,204.5800018310547,203.70260620117188,367200.0
2024-11-11,AWK,135.30999755859375,136.5399932861328,134.5,134.77000427246094,134.0050048828125,926800.0
2024-11-11,AXON,611.0599975585938,624.8400268554688,588.02001953125,616.1400146484375,616.1400146484375,1792700.0
2024-11-11,AXP,290.489990234375,294.17999267578125,290.42999267578125,292.9700012207031,292.9700012207031,2299500.0
